Battle_title,Battle_url,Sup_1_Character,Sup_1_Name,Sup_1_Universe,Sup_2_Character,Sup_2_Name,Sup_2_Universe,Superhero_1_win,Superhero_2_win,Draw
Darth Sidious vs Borg Queen,https://www.superherodb.com/90-781486/,Darth Sidious,Sheev Palpatine,Star Wars,Borg Queen,,Star Trek,100.0,0.0,0.0
Greedo vs Quark,https://www.superherodb.com/90-781485/,Greedo,Greedo,Star Wars,Quark,Quark,Star Trek,0.0,0.0,100.0
Han Solo vs Chakotay,https://www.superherodb.com/90-781484/,Han Solo,Han Solo,Star Wars,Chakotay,Chakotay,Star Trek,0.0,0.0,100.0
Seven of Nine vs T'Pol,https://www.superherodb.com/90-781483/,Seven of Nine,Annika Hansen,Star Trek,T'Pol,T'Pol,Star Trek,0.0,0.0,100.0
Black Noir vs Snake-Eyes,https://www.superherodb.com/90-781481/,Black Noir,Earving,The Boys 2019,Snake-Eyes,,G.I Joe Film,100.0,0.0,0.0
Captain Hindsight vs Professor Chaos,https://www.superherodb.com/90-780981/,Captain Hindsight,Jack Brolin,,Professor Chaos,Butters Stotch,,100.0,0.0,0.0
Black Manta vs Firefly,https://www.superherodb.com/90-780883/,Black Manta,David Hyde,Prime Earth,Firefly,Garfield Lynns,Prime Earth,100.0,0.0,0.0
Nick Fury vs Doctor Octopus,https://www.superherodb.com/90-69994/,Nick Fury,Nicholas Joseph Fury,Earth-616,Doctor Octopus,Otto Octavius,Earth-616,0.0,100.0,0.0
Elektra vs Lara Croft,https://www.superherodb.com/90-69454/,Elektra,Elektra Natchios,Earth-616,Lara Croft,Lara Croft,,100.0,0.0,0.0
Mysterio vs Mister Sinister,https://www.superherodb.com/90-69092/,Mysterio,Quentin Beck,Earth-616,Mister Sinister,Nathaniel Essex,Earth-616,16.7,83.3,0.0
Cyclops vs Red Skull,https://www.superherodb.com/90-67408/,Cyclops,Scott Summers,Earth-616,Red Skull,Johann Shmidt,Earth-616,50.0,50.0,0.0
Red Tornado vs Mister Fantastic,https://www.superherodb.com/90-67092/,Red Tornado,John Smith,Prime Earth,Mister Fantastic,Reed Richards,Earth-616,0.0,100.0,0.0
T-1000 vs Sandman,https://www.superherodb.com/90-66975/,T-1000,Cyberdyne Systems Series 1000 Terminator,Terminator,Sandman,William Baker,Earth-616,50.0,50.0,0.0
Darth Maul vs T-1000,https://www.superherodb.com/90-65851/,Darth Maul,Maul,Star Wars,T-1000,Cyberdyne Systems Series 1000 Terminator,Terminator,20.0,80.0,0.0
Daredevil vs Donatello,https://www.superherodb.com/90-65659/,Daredevil,Matt Murdock,Earth-616,Donatello,,TMNT,0.0,100.0,0.0
Swamp Thing vs Captain Planet,https://www.superherodb.com/90-64506/,Swamp Thing,Alec Holland,Prime Earth,Captain Planet,,Earth-616,50.0,50.0,0.0
Scarecrow vs Poison Ivy,https://www.superherodb.com/90-64345/,Scarecrow,Jonathan Crane,Prime Earth,Poison Ivy,Pamela Isley,Prime Earth,0.0,100.0,0.0
Iron Man vs Tick,https://www.superherodb.com/90-62635/,Iron Man,Tony Stark,Earth-616,Tick,Nick,The Tick,100.0,0.0,0.0
Absorbing Man vs She-Hulk,https://www.superherodb.com/90-62622/,Absorbing Man,Carl Creel,Earth-616,She-Hulk,Jennifer Walters,Earth-616,66.7,33.3,0.0
Red Tornado vs Exodus,https://www.superherodb.com/90-55364/,Red Tornado,John Smith,Prime Earth,Exodus,Bennet Du Paris,Earth-616,0.0,100.0,0.0
Luke Cage vs Bishop,https://www.superherodb.com/90-55121/,Luke Cage,Luke Cage,Earth-616,Bishop,Lucas Bishop,Earth-616,100.0,0.0,0.0
Green Goblin vs Superboy,https://www.superherodb.com/90-54119/,Green Goblin,Norman Osborn,Earth-616,Superboy,Kon-El / Conner Kent,Prime Earth,0.0,100.0,0.0
T-800 vs Boba Fett,https://www.superherodb.com/90-53287/,T-800,Cyberdyne Systems Series 800 Terminator Model 101,Terminator,Boba Fett,Boba Fett,Star Wars,0.0,100.0,0.0
Nightwing vs Judge Dredd,https://www.superherodb.com/90-84321/,Nightwing,Dick Grayson,Prime Earth,Judge Dredd,Joseph Dredd,JD,60.0,40.0,0.0
Kingpin vs Hit-Girl,https://www.superherodb.com/90-84192/,Kingpin,Wilson Grant Fisk,Earth-616,Hit-Girl,Mindy McCready,Kick-Ass,100.0,0.0,0.0
Jubilee vs Stargirl,https://www.superherodb.com/90-83400/,Jubilee,Jubilation Lee,Earth-616,Stargirl,Courtney Whitmore,Prime Earth,0.0,100.0,0.0
Toxin vs Venompool,https://www.superherodb.com/90-83260/,Toxin,Patrick Mulligan,Earth-616,Venompool,Wade Wilson,Earth-616,0.0,100.0,0.0
Toxin vs Venompool,https://www.superherodb.com/90-83259/,Toxin,Eddie Brock,Earth-616,Venompool,Wade Wilson,Earth-616,0.0,100.0,0.0
