Battle_title,Battle_url,Sup_1_Character,Sup_1_Name,Sup_1_Universe,Sup_2_Character,Sup_2_Name,Sup_2_Universe,Superhero_1_win,Superhero_2_win,Draw
Thing vs Colossus,https://www.superherodb.com/90-8/,Thing,Ben Grimm,Earth-616,Colossus,Peter Rasputin,Earth-616,44.3,52.9,2.8000000000000114
Doctor Strange (Classic) vs Mandarin,https://www.superherodb.com/90-14272/,Doctor Strange (Classic),Stephen Strange,Earth-616,Mandarin,Khan,Earth-616,100.0,0.0,0.0
Shark-girl vs Tiger Shark,https://www.superherodb.com/90-28307/,Shark-girl,Iara Dos Santos,Earth-616,Tiger Shark,Todd Arliss,Earth-616,0.0,100.0,0.0
Rhino vs Scorpion,https://www.superherodb.com/90-27845/,Rhino,Aleksei Sytsevich,Earth-616,Scorpion,MacDonald Gargan,Earth-616,0.0,100.0,0.0
Red Skull vs Captain Universe,https://www.superherodb.com/90-82948/,Red Skull,Johann Shmidt,Earth-616,Captain Universe,Uni-Power,Earth-616,0.0,100.0,0.0
Lizard vs Luke Cage,https://www.superherodb.com/90-74444/,Lizard,Curtis Connors,Earth-616,Luke Cage,Luke Cage,Earth-616,0.0,100.0,0.0
Absorbing Man vs Rogue,https://www.superherodb.com/90-28308/,Absorbing Man,Carl Creel,Earth-616,Rogue,Anna Marie,Earth-616,58.3,33.3,8.400000000000006
Magneto vs Groot,https://www.superherodb.com/90-26450/,Magneto,Max Eisenhardt,Earth-616,Groot,Groot,Earth-616,75.0,25.0,0.0
Kingpin vs Cottonmouth,https://www.superherodb.com/90-88074/,Kingpin,Wilson Grant Fisk,Earth-616,Cottonmouth,Burchell Clemens,Earth-616,100.0,0.0,0.0
Deadpool vs Legion,https://www.superherodb.com/90-86653/,Deadpool,Wade Wilson,Earth-616,Legion,David Haller,Earth-616,12.5,87.5,0.0
Iron Man vs Captain Marvel,https://www.superherodb.com/90-25855/,Iron Man,Tony Stark,Earth-616,Captain Marvel,Carol Danvers,Earth-616,44.4,55.6,0.0
Captain America vs Punisher,https://www.superherodb.com/90-100/,Captain America,Steve Rogers,Earth-616,Punisher,Frank Castle,Earth-616,91.0,9.0,0.0
Hulk vs Iron Man,https://www.superherodb.com/90-3/,Hulk,Bruce Banner,Earth-616,Iron Man,Tony Stark,Earth-616,82.1,16.4,1.5
Ultron vs Vision,https://www.superherodb.com/90-913/,Ultron,Ultron,Earth-616,Vision,Vision,Earth-616,88.3,11.7,0.0
Captain Marvel vs Ms. Marvel,https://www.superherodb.com/90-186407/,Captain Marvel,Carol Danvers,Earth-616,Ms. Marvel,Carol Danvers,Earth-616,71.4,25.7,2.8999999999999915
Kingpin vs Iron Fist,https://www.superherodb.com/90-45704/,Kingpin,Wilson Grant Fisk,Earth-616,Iron Fist,Danny Rand,Earth-616,0.0,100.0,0.0
Venom vs Green Goblin II,https://www.superherodb.com/90-3735/,Venom,Eddie Brock,Earth-616,Green Goblin II,Harold Osborn,Earth-616,100.0,0.0,0.0
Captain America vs Vision,https://www.superherodb.com/90-2311/,Captain America,Steve Rogers,Earth-616,Vision,Vision,Earth-616,12.5,87.5,0.0
She-Venom vs She-Thing,https://www.superherodb.com/90-26835/,She-Venom,Anne Weying,Earth-616,She-Thing,Sharon Ventura,Earth-616,100.0,0.0,0.0
Thor vs Black Mamba,https://www.superherodb.com/90-25536/,Thor,Thor Odinson,Earth-616,Black Mamba,Tanya Sealy,Earth-616,100.0,0.0,0.0
Rhino vs Absorbing Man,https://www.superherodb.com/90-47447/,Rhino,Aleksei Sytsevich,Earth-616,Absorbing Man,Carl Creel,Earth-616,0.0,100.0,0.0
Iceman vs Human Torch,https://www.superherodb.com/90-4/,Iceman,Bobby Drake,Earth-616,Human Torch,Johnny Storm,Earth-616,81.8,17.6,0.5999999999999943
Venom vs Medusa,https://www.superherodb.com/90-96678/,Venom,Eddie Brock,Earth-616,Medusa,Medusalith Amaquelin-Boltagon,Earth-616,0.0,100.0,0.0
Emma Frost vs Invisible Woman,https://www.superherodb.com/90-3841/,Emma Frost,Emma Frost,Earth-616,Invisible Woman,Susan Storm Richards,Earth-616,50.0,50.0,0.0
Abomination vs Venom,https://www.superherodb.com/90-3521/,Abomination,Emil Blonsky,Earth-616,Venom,Eddie Brock,Earth-616,40.0,50.0,10.0
Green Goblin vs Sandman,https://www.superherodb.com/90-1145/,Green Goblin,Norman Osborn,Earth-616,Sandman,William Baker,Earth-616,70.0,30.0,0.0
Venom vs Doctor Strange (Classic),https://www.superherodb.com/90-1137/,Venom,Eddie Brock,Earth-616,Doctor Strange (Classic),Stephen Strange,Earth-616,0.0,100.0,0.0
Venom vs Scarlet Witch,https://www.superherodb.com/90-83441/,Venom,Eddie Brock,Earth-616,Scarlet Witch,Wanda Maximoff,Earth-616,0.0,94.1,5.900000000000006
Iceman vs Thing,https://www.superherodb.com/90-812389/,Iceman,Bobby Drake,Earth-616,Thing,Ben Grimm,Earth-616,100.0,0.0,0.0
Colossus vs Juggernaut,https://www.superherodb.com/90-7318-4838/,Colossus,Peter Rasputin,Earth-616,Juggernaut,Cain Marko,Earth-616,0.0,100.0,0.0
Iron Man vs Human Torch,https://www.superherodb.com/90-6736-5739/,Iron Man,Tony Stark,Earth-616,Human Torch,Johnny Storm,Earth-616,0.0,100.0,0.0
Iron Man vs Hawkeye,https://www.superherodb.com/90-6633-6049/,Iron Man,Tony Stark,Earth-616,Hawkeye,Clint Barton,Earth-616,50.0,50.0,0.0
Iron Man vs Thanos,https://www.superherodb.com/90-3152-6043/,Iron Man,Tony Stark,Earth-616,Thanos,Thanos,Earth-616,0.0,75.0,25.0
Iron Man vs Mandarin,https://www.superherodb.com/90-2543-1492/,Iron Man,Tony Stark,Earth-616,Mandarin,Khan,Earth-616,100.0,0.0,0.0
Purple Man vs Erik Killmonger,https://www.superherodb.com/90-918846/,Purple Man,Zebediah Killgrave,Earth-616,Erik Killmonger,N'Jadaka,Earth-616,0.0,0.0,100.0
Iceman vs Thing,https://www.superherodb.com/90-20006-4915/,Iceman,Bobby Drake,Earth-616,Thing,Ben Grimm,Earth-616,100.0,0.0,0.0
Scarlet Witch vs Iron Man (Hulkbuster Armor),https://www.superherodb.com/90-207332/,Scarlet Witch,Wanda Maximoff,Earth-616,Iron Man (Hulkbuster Armor),Tony Stark,Earth-616,77.8,22.2,0.0
Iron Man (Endo-Sym Armor) vs Iron Man (Hulkbuster Armor),https://www.superherodb.com/90-206885/,Iron Man (Endo-Sym Armor),Tony Stark,Earth-616,Iron Man (Hulkbuster Armor),Tony Stark,Earth-616,90.0,10.0,0.0
Ultron vs Iron Man (Endo-Sym Armor),https://www.superherodb.com/90-206884/,Ultron,Ultron,Earth-616,Iron Man (Endo-Sym Armor),Tony Stark,Earth-616,9.1,90.9,0.0
Thanos (Infinity Gauntlet) vs Iron Man (Godkiller Armor MK II),https://www.superherodb.com/90-238601/,Thanos (Infinity Gauntlet),Thanos,Earth-616,Iron Man (Godkiller Armor MK II),Tony Stark,Earth-616,83.3,16.7,0.0
Ultron vs Ultimo,https://www.superherodb.com/90-402295/,Ultron,Ultron,Earth-616,Ultimo,Doomsday Device,Earth-616,100.0,0.0,0.0
Destroyer vs Hulk,https://www.superherodb.com/90-402294/,Destroyer,NA,Earth-616,Hulk,Bruce Banner,Earth-616,20.0,80.0,0.0
Destroyer vs Beast,https://www.superherodb.com/90-402293/,Destroyer,NA,Earth-616,Beast,Hank McCoy,Earth-616,100.0,0.0,0.0
The Living Tribunal vs White Phoenix of the Crown,https://www.superherodb.com/90-124664/,The Living Tribunal,NA,Earth-616,White Phoenix of the Crown,Jean Grey,Earth-616,75.7,22.6,1.6999999999999886
Thor vs Hela,https://www.superherodb.com/90-122512/,Thor,Thor Odinson,Earth-616,Hela,NA,Earth-616,32.7,66.3,1.0
Hulk vs Red Hulk,https://www.superherodb.com/90-226/,Hulk,Bruce Banner,Earth-616,Red Hulk,Thaddeus E. Ross,Earth-616,90.1,9.4,0.5
Deadpool vs Doctor Doom,https://www.superherodb.com/90-5476/,Deadpool,Wade Wilson,Earth-616,Doctor Doom,Victor Von Doom,Earth-616,19.1,80.9,0.0
Hulk vs Iron Man (Hulkbuster Armor),https://www.superherodb.com/90-206075/,Hulk,Bruce Banner,Earth-616,Iron Man (Hulkbuster Armor),Tony Stark,Earth-616,88.2,11.8,0.0
Venom vs Venompool,https://www.superherodb.com/90-83257/,Venom,Eddie Brock,Earth-616,Venompool,Wade Wilson,Earth-616,5.6,94.4,0.0
Vulture vs Doctor Octopus,https://www.superherodb.com/90-72874/,Vulture,Adrian Toomes,Earth-616,Doctor Octopus,Otto Octavius,Earth-616,22.7,77.3,0.0
Iceman vs Emma Frost,https://www.superherodb.com/90-18310/,Iceman,Bobby Drake,Earth-616,Emma Frost,Emma Frost,Earth-616,55.6,44.4,0.0
Ultron vs War Machine,https://www.superherodb.com/90-3492/,Ultron,Ultron,Earth-616,War Machine,James Rhodes,Earth-616,100.0,0.0,0.0
Banshee vs Falcon,https://www.superherodb.com/90-13287/,Banshee,Sean Cassidy,Earth-616,Falcon,Sam Wilson,Earth-616,100.0,0.0,0.0
